state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Indiana,2020-06-29,0.593446289,0.14285714285714285,9.571428571428571,208.42857142857142,8.714285714285714,-33.0,5.714285714285714,48201.0,3271.0
Indiana,2020-07-06,0.6629397089999999,0.14285714285714285,5.714285714285714,173.71428571428572,8.857142857142858,-25.428571428571427,5.714285714285714,51612.0,3411.0
Indiana,2020-07-13,0.6865055470000001,-1.4285714285714286,5.0,177.0,6.571428571428571,-24.714285714285715,5.428571428571429,56571.0,4959.0
Indiana,2020-07-20,0.7082652449999999,-2.5714285714285716,4.428571428571429,178.42857142857142,6.428571428571429,-24.142857142857142,5.0,62372.0,5801.0
Indiana,2020-07-27,0.6588113870000001,-2.7142857142857144,3.0,145.0,4.857142857142857,-25.0,5.714285714285714,67857.0,5485.0
Indiana,2020-08-03,0.6653478970000001,0.0,4.714285714285714,188.57142857142858,6.714285714285714,-23.428571428571427,4.142857142857143,74328.0,6471.0
Indiana,2020-08-10,0.680399071,-2.0,2.7142857142857144,162.28571428571428,5.285714285714286,-23.857142857142858,4.428571428571429,80415.0,6087.0
Iowa,2020-02-24,1.0,8.0,12.142857142857142,29.571428571428573,2.857142857142857,3.5714285714285716,-1.2857142857142858,0.0,0.0
Iowa,2020-03-02,1.0064635709999996,10.0,16.571428571428573,55.57142857142857,7.571428571428571,4.285714285714286,-1.7142857142857142,0.0,0.0
Iowa,2020-03-09,0.9924908510000001,2.857142857142857,21.571428571428573,21.857142857142858,4.428571428571429,1.0,0.2857142857142857,18.0,18.0
Iowa,2020-03-16,0.6118530489999999,-31.142857142857142,16.0,11.142857142857142,-11.428571428571429,-23.428571428571427,10.285714285714286,90.0,72.0
Iowa,2020-03-23,0.346418896,-41.42857142857143,-6.142857142857143,35.857142857142854,-21.0,-32.42857142857143,14.714285714285714,336.0,246.0
Iowa,2020-03-30,0.300080795,-38.42857142857143,-0.7142857142857143,81.71428571428571,-21.0,-35.57142857142857,14.428571428571429,869.0,533.0
Iowa,2020-04-06,0.251176275,-43.57142857142857,-4.571428571428571,53.42857142857143,-25.428571428571427,-39.857142857142854,15.285714285714286,1587.0,718.0
